condition,n,mean,ci_low,ci_high,score_mean,score_ci_low,score_ci_high,params,mod_mean,mod_ci_low,mod_ci_high,ref_chrf,ref_chrf_ci_low,ref_chrf_ci_high,ref_bleu
teacher,100,0.93,0.87,0.97,0.9249297392368316,0.870276657089591,0.9700716554224491,N/A,,,,20.885968232168125,18.907336991129736,22.975032969470387,0.5099160746251464
lora,100,0.89,0.83,0.94,0.88334064245224,0.8194270370006561,0.9403120685517787,~1.5% (r=32),0.6361646426362828,0.6113704123544681,0.6609584252996769,19.780382566131273,17.776282505586913,21.597957284046558,0.4646764492529703
