condition,n,mean,ci_low,ci_high,score_mean,score_ci_low,score_ci_high,params,mod_mean,mod_ci_low,mod_ci_high,ref_chrf,ref_chrf_ci_low,ref_chrf_ci_high,ref_bleu
teacher,100,0.94,0.89,0.98,0.9360409772396088,0.8863225180208684,0.9790289657711984,N/A,,,,27.634692373947892,25.368987614865304,30.105928741315257,0.5212131355110207
full,100,0.96,0.92,0.99,0.9620834928750992,0.9224544475227594,0.9916788885146379,100%,0.6401527992959363,0.6176615400048563,0.6650300463546621,27.145533373518173,24.76198722085722,29.667206578321473,0.4671916383258606
lora,100,0.96,0.92,0.99,0.9573437386751175,0.9155904404222965,0.9894429838210345,~1%,0.648465106844217,0.62338553766335,0.6718528805390891,23.956806055699527,22.014003643612906,25.943985956110563,0.22396061178105914
qlora,100,0.91,0.85,0.96,0.9094348609447479,0.8499707492589951,0.9592496160119772,~1% (4-bit),0.6381436818400426,0.614282987687523,0.663750138416275,23.72725347590551,21.609211269587227,25.99095680736861,0.38106094167039595
adapter,100,0.14,0.07,0.21,0.13694785833358764,0.07713442207872868,0.20847301763296125,~0.03%,0.40525185103194017,0.38077362557624206,0.429816014403662,26.818103852390905,25.082226035082137,28.75804933496858,0.478871180471219
baseline_zeroshot,100,0.13,0.07,0.2,0.1286541587114334,0.06942389245331287,0.19375916212797165,0%,0.38490562504115955,0.3608584728040298,0.40662759145218536,26.187075046787054,24.401286166894234,28.12023700065085,0.48358571238760667
