condition,n,mean,ci_low,ci_high,score_mean,score_ci_low,score_ci_high,params,mod_mean,mod_ci_low,mod_ci_high,ref_chrf,ref_chrf_ci_low,ref_chrf_ci_high,ref_bleu
teacher,100,0.93,0.88,0.97,0.9249297392368316,0.8692058074623347,0.970096628844738,N/A,,,,20.885968232168125,18.965679596001042,22.83674918564163,0.5099160746251464
lora,100,0.7,0.61,0.79,0.6990291142463684,0.6111387641578913,0.7871319352984428,~1.5% (r=32),0.602511514804823,0.5747131415952768,0.6306206790198637,18.982182325299775,16.98652971798048,20.92887476114793,0.49975933825647906
