condition,n,mean,ci_low,ci_high,score_mean,score_ci_low,score_ci_high,params,mod_mean,mod_ci_low,mod_ci_high,ref_chrf,ref_chrf_ci_low,ref_chrf_ci_high,ref_bleu
teacher,100,0.93,0.88,0.97,0.9249297392368316,0.8746060415804386,0.9701261994093656,N/A,,,,20.885968232168125,18.900859955735932,23.040176617637247,0.5099160746251464
baseline_zeroshot,100,0.18,0.11,0.26,0.17801230847835542,0.11089119805395603,0.2604854328632355,0%,0.46013608841015213,0.442815284924671,0.47890418928785483,12.45404398581078,11.597617742175492,13.320831306675,0.1130148808078364
lora,100,0.96,0.92,0.99,0.9624605345726013,0.9224886537641287,0.9899577666819095,~1.5% (r=32),0.6154133605265661,0.5918207485758114,0.6397979962532366,18.021879452046537,16.24001049425657,20.029546842303088,0.543341258512458
