condition,n,mean,ci_low,ci_high,score_mean,score_ci_low,score_ci_high,params,mod_mean,mod_ci_low,mod_ci_high,ref_chrf,ref_chrf_ci_low,ref_chrf_ci_high,ref_bleu
teacher,100,0.93,0.87,0.97,0.9249297392368316,0.8715188122689723,0.9739295289069414,N/A,,,,20.885968232168125,18.829309476869348,22.982081365307128,0.5099160746251464
baseline_zeroshot,100,0.5,0.41,0.59,0.4904215794801712,0.39901550792157653,0.5873758518844843,0%,0.5580143148679985,0.5368223156689991,0.5813176248686414,14.763697096757658,13.407006238442913,16.31431574565198,0.17428791012914235
lora,100,0.96,0.92,0.99,0.962445221543312,0.9216858035624027,0.9909816603958607,~1.5% (r=32),0.6300752068971436,0.6083971914537727,0.6527020442395762,17.84960332133322,16.26358691680362,19.644858541239813,0.3572073008631351
