condition,n,mean,ci_low,ci_high,score_mean,score_ci_low,score_ci_high,params,mod_mean,mod_ci_low,mod_ci_high,ref_chrf,ref_chrf_ci_low,ref_chrf_ci_high,ref_bleu
teacher,100,0.93,0.88,0.97,0.9249297392368316,0.870638201251626,0.9700176282227039,N/A,,,,20.885968232168125,18.84349468690607,23.001966080638883,0.5099160746251464
baseline_zeroshot,100,0.5,0.4,0.6,0.4904215794801712,0.3968805052489042,0.583517209842801,0%,0.5580143148679985,0.5343748693363114,0.5804154877129534,14.763697096757658,13.386747081879125,16.15790854317405,0.17428791012914235
lora,100,0.99,0.97,1.0,0.9881207346916199,0.964658417776227,0.999874384894967,~1.5% (r=32),0.6342412290558415,0.6106103172545968,0.6584291532672332,17.298245342034964,15.809428564630037,18.95184709172891,0.30490884941162905
