condition,n,mean,ci_low,ci_high,score_mean,score_ci_low,score_ci_high,params,mod_mean,mod_ci_low,mod_ci_high,ref_chrf,ref_chrf_ci_low,ref_chrf_ci_high,ref_bleu
teacher,100,0.93,0.88,0.97,0.9249297392368316,0.8753135731965304,0.9695384567528963,N/A,,,,20.885968232168125,18.818951315352606,22.96913968609388,0.5099160746251464
baseline_zeroshot,100,0.18,0.1,0.26,0.17801230847835542,0.11120154103636742,0.25433007530868057,0%,0.46013608841015213,0.44314654845729307,0.47666184280525886,12.45404398581078,11.630903601520984,13.353260100112424,0.1130148808078364
lora,100,0.97,0.94,1.0,0.9698862475156784,0.9300172002762556,0.9998063777089119,~1.5% (r=32),0.6271892292658583,0.6010351020394559,0.6535323602059954,18.969262505550955,17.257738319227283,20.741277132308177,0.3800622655564845
